HP Number,HP Date,Name of Owner,Asset,Registration Number,Engine Number,Chassis Date,Year of Manufacturing,ORC,State,Zone,Repo Date,Segment,Photo Link,Correctly Placed,Location,Contact Person,Inspection Done
HP-SBINB-100027,2022-05-07,Vivek Patel,Toyota Glanza V,TS75 JX 4622,ENR8876826,2021-12-18,2021,ORC-TS-97168,Telangana,South,2024-07-26,Car,https://images.example.com/assets/TS75JX4622.jpg,Yes,"Yard E, Warangal",Rajesh Choudhary (+91 9352483461),Yes
HP-YESB-100028,2020-04-26,Sneha Verma,Kia Seltos HTK,AP23 MT 3681,ENF0497133,2019-06-08,2019,ORC-AP-61023,Andhra Pradesh,South,2024-08-19,Car,https://images.example.com/assets/AP23MT3681.jpg,Yes,"Yard D, Visakhapatnam",Sandeep Patel (+91 9723786696),No
HP-ICICIB-100029,2015-11-19,Kavita Das,Volkswagen Virtus Comfortline,RJ49 QR 4241,ENZ2369365,2014-09-27,2014,ORC-RJ-42507,Rajasthan,North,2026-12-13,Car,https://images.example.com/assets/RJ49QR4241.jpg,No,"Yard D, Udaipur",Naveen Khan (+91 9548374998),No
HP-HDFCB-100030,2016-05-13,Amit Joshi,Hyundai i20 Sportz,GJ18 RJ 5905,ENY4225212,2014-01-25,2014,ORC-GJ-64851,Gujarat,West,2025-08-17,Car,https://images.example.com/assets/GJ18RJ5905.jpg,Yes,"Yard A, Ahmedabad",Kavita Nair (+91 9202979929),No
HP-YESB-100031,2022-06-22,Rajesh Shah,Maruti Suzuki Swift VXi,DL65 LY 6209,ENC5780623,2020-01-12,2020,ORC-DL-59679,Delhi,North,2025-11-24,Car,https://images.example.com/assets/DL65LY6209.jpg,No,"Yard A, Rohini",Rahul Reddy (+91 9386548200),No
HP-YESB-100032,2025-05-05,Arjun Patel,Skoda Slavia Active,MP49 KI 6100,ENR4017667,2023-12-01,2023,ORC-MP-28994,Madhya Pradesh,Central,2026-04-20,Car,https://images.example.com/assets/MP49KI6100.jpg,Yes,"Yard A, Indore",Amit Joshi (+91 9417963972),No
HP-ICICIB-100033,2018-08-28,Sneha Patel,Tata Nexon XZ,TN56 DQ 9104,ENN3369812,2017-12-20,2017,ORC-TN-53580,Tamil Nadu,South,2024-08-01,Car,https://images.example.com/assets/TN56DQ9104.jpg,No,"Yard B, Madurai",Rahul Kumar (+91 9051860238),No
HP-HDFCB-100034,2014-03-04,Arjun Das,Skoda Slavia Active,KL47 LK 7767,ENJ9049772,2014-02-26,2014,ORC-KL-49822,Kerala,South,2025-10-24,Car,https://images.example.com/assets/KL47LK7767.jpg,No,"Yard E, Trivandrum",Geeta Choudhary (+91 9448031236),Yes
HP-ICICIB-100035,2023-12-04,Manoj Khan,Tata Nexon XZ,PB12 DN 2335,ENS3837801,2023-03-06,2023,ORC-PB-96186,Punjab,North,2024-08-04,Car,https://images.example.com/assets/PB12DN2335.jpg,Yes,"Yard C, Amritsar",Rajesh Patel (+91 9497405102),No
HP-YESB-100036,2021-05-16,Shruti Khan,Hero Splendor Plus,GJ44 BW 3326,ENC2065998,2019-12-07,2019,ORC-GJ-98347,Gujarat,West,2025-04-13,Two Wheeler,https://images.example.com/assets/GJ44BW3326.jpg,Yes,"Yard C, Rajkot",Pooja Shah (+91 9127113424),No
HP-ICICIB-100037,2015-07-24,Meera Iyer,Honda Activa 6G,BR36 HK 3035,ENY9104004,2014-11-17,2014,ORC-BR-37160,Bihar,East,2025-04-12,Two Wheeler,https://images.example.com/assets/BR36HK3035.jpg,Yes,"Yard A, Patna",Asha Gupta (+91 9894364916),No
HP-HDFCB-100038,2020-12-01,Neha Gupta,Hero Splendor Plus,AP28 ES 2117,ENY8160187,2020-08-19,2020,ORC-AP-18621,Andhra Pradesh,South,2024-01-06,Two Wheeler,https://images.example.com/assets/AP28ES2117.jpg,Yes,"Yard D, Visakhapatnam",Manoj Joshi (+91 9733004151),No
HP-KMBL-100039,2024-03-18,Sunita Kumar,Bajaj Pulsar 150,DL13 ZS 6098,ENM1164393,2022-08-22,2022,ORC-DL-80515,Delhi,North,2024-10-18,Two Wheeler,https://images.example.com/assets/DL13ZS6098.jpg,Yes,"Yard E, New Delhi",Naveen Reddy (+91 9797299866),No
HP-KMBL-100040,2019-06-15,Ritu Mehta,KTM Duke 200,MH33 LS 9730,ENJ0949973,2019-05-01,2019,ORC-MH-86915,Maharashtra,West,2026-11-09,Two Wheeler,https://images.example.com/assets/MH33LS9730.jpg,No,"Yard B, Nagpur",Kavita Pillai (+91 9743942303),No
HP-SBINB-100041,2021-04-21,Rajesh Pillai,Royal Enfield Classic 350,AP01 UA 3121,ENE8887458,2020-11-08,2020,ORC-AP-50757,Andhra Pradesh,South,2025-02-06,Two Wheeler,https://images.example.com/assets/AP01UA3121.jpg,Yes,"Yard B, Visakhapatnam",Sandeep Sharma (+91 9152560990),Yes
HP-SBINB-100042,2016-03-16,Deepak Reddy,TVS Jupiter ZX,BR02 UC 9069,ENL5926464,2016-04-26,2016,ORC-BR-61604,Bihar,East,2026-04-23,Two Wheeler,https://images.example.com/assets/BR02UC9069.jpg,Yes,"Yard E, Gaya",Pankaj Pandey (+91 9664276672),No
HP-SBINB-100043,2024-08-17,Suresh Khan,Bajaj CT 100,MH42 KV 6412,END9366356,2023-12-07,2023,ORC-MH-28417,Maharashtra,West,2026-12-15,Two Wheeler,https://images.example.com/assets/MH42KV6412.jpg,Yes,"Yard B, Nashik",Ritu Pillai (+91 9368677066),No
HP-SBINB-100044,2020-10-05,Vivek Singh,Hero Splendor Plus,WB26 NI 9351,ENW6389700,2020-07-11,2020,ORC-WB-20363,West Bengal,East,2025-03-18,Two Wheeler,https://images.example.com/assets/WB26NI9351.jpg,Yes,"Yard C, Kolkata",Neha Shah (+91 9049742812),No
HP-YESB-100045,2016-07-01,Deepak Verma,Hero HF Deluxe,DL54 AV 7922,ENV7737147,2016-04-20,2016,ORC-DL-34540,Delhi,North,2025-11-26,Two Wheeler,https://images.example.com/assets/DL54AV7922.jpg,Yes,"Yard A, New Delhi",Kavita Gupta (+91 9994502206),Yes
HP-YESB-100046,2017-01-19,Rajesh Patel,Hero Splendor Plus,PB38 CF 1608,ENQ0229692,2015-08-24,2015,ORC-PB-96505,Punjab,North,2025-01-10,Two Wheeler,https://images.example.com/assets/PB38CF1608.jpg,No,"Yard A, Mohali",Anjali Verma (+91 9590754484),No
HP-KMBL-100047,2016-02-27,Neha Patel,Yamaha FZ-S V3,MP27 AA 7278,ENC3787905,2016-03-06,2016,ORC-MP-17202,Madhya Pradesh,Central,2026-01-01,Two Wheeler,https://images.example.com/assets/MP27AA7278.jpg,Yes,"Yard D, Gwalior",Asha Das (+91 9515196583),No
HP-SBINB-100048,2023-01-05,Amit Gupta,TVS Jupiter ZX,TS51 TT 6499,ENR0738592,2021-07-12,2021,ORC-TS-81818,Telangana,South,2025-09-10,Two Wheeler,https://images.example.com/assets/TS51TT6499.jpg,Yes,"Yard B, Warangal",Nikhil Verma (+91 9209504363),No
HP-KMBL-100049,2025-05-27,Asha Khan,Royal Enfield Classic 350,BR39 LB 3138,ENH5623139,2024-09-04,2024,ORC-BR-85457,Bihar,East,2025-02-28,Two Wheeler,https://images.example.com/assets/BR39LB3138.jpg,No,"Yard D, Gaya",Nikhil Pillai (+91 9605920542),No
HP-HDFCB-100050,2016-08-19,Naveen Rao,Yamaha FZ-S V3,DL21 NI 9789,ENV7016144,2014-02-01,2014,ORC-DL-54448,Delhi,North,2026-01-16,Two Wheeler,https://images.example.com/assets/DL21NI9789.jpg,No,"Yard E, Rohini",Geeta Pandey (+91 9278926309),No
HP-KMBL-100051,2022-01-23,Meera Pandey,Suzuki Access 125,KL72 RS 6057,ENS0983431,2021-09-24,2021,ORC-KL-87267,Kerala,South,2026-10-04,Two Wheeler,https://images.example.com/assets/KL72RS6057.jpg,Yes,"Yard C, Trivandrum",Anita Rao (+91 9297792702),No
HP-YESB-100052,2020-01-20,Divya Iyer,Hero HF Deluxe,TS05 HM 9111,ENJ6060897,2019-09-28,2019,ORC-TS-84457,Telangana,South,2024-11-14,Two Wheeler,https://images.example.com/assets/TS05HM9111.jpg,No,"Yard B, Hyderabad",Sneha Khan (+91 9544969243),Yes
HP-ICICIB-100053,2023-08-20,Priya Choudhary,KTM Duke 200,DL67 NF 6268,ENJ0971082,2023-09-20,2023,ORC-DL-33130,Delhi,North,2024-02-13,Two Wheeler,https://images.example.com/assets/DL67NF6268.jpg,Yes,"Yard D, New Delhi",Vikas Khan (+91 9787801522),No
HP-AXISB-100054,2017-08-18,Asha Gupta,Bajaj CT 100,DL73 PR 2361,ENR5131795,2015-07-21,2015,ORC-DL-91998,Delhi,North,2025-12-18,Two Wheeler,https://images.example.com/assets/DL73PR2361.jpg,Yes,"Yard A, Rohini",Shruti Yadav (+91 9813891126),No
HP-HDFCB-100055,2025-10-08,Arjun Yadav,Bajaj Pulsar 150,KA81 VY 8741,ENS9897202,2023-12-05,2023,ORC-KA-64123,Karnataka,South,2025-07-22,Two Wheeler,https://images.example.com/assets/KA81VY8741.jpg,Yes,"Yard A, Bengaluru",Sandeep Pillai (+91 9446515993),No
HP-ICICIB-100056,2025-06-23,Naveen Mehta,Yamaha FZ-S V3,UP75 JN 3475,ENU1526913,2023-04-11,2023,ORC-UP-18189,Uttar Pradesh,North,2026-11-25,Two Wheeler,https://images.example.com/assets/UP75JN3475.jpg,No,"Yard A, Varanasi",Karan Patel (+91 9412512871),Yes
HP-ICICIB-100057,2018-07-13,Neha Nair,Suzuki Access 125,MH78 KT 2069,ENF4821290,2018-10-06,2018,ORC-MH-20090,Maharashtra,West,2024-10-25,Two Wheeler,https://images.example.com/assets/MH78KT2069.jpg,Yes,"Yard A, Nagpur",Manoj Reddy (+91 9426728252),Yes
HP-KMBL-100058,2018-10-13,Lakshmi Yadav,Royal Enfield Classic 350,WB79 EV 6228,ENA8416555,2016-12-16,2016,ORC-WB-35150,West Bengal,East,2025-07-21,Two Wheeler,https://images.example.com/assets/WB79EV6228.jpg,Yes,"Yard A, Siliguri",Nikhil Gupta (+91 9905147037),No
HP-INDB-100059,2024-12-13,Priya Reddy,Yamaha FZ-S V3,TS62 IG 4168,ENW2711045,2023-08-17,2023,ORC-TS-66074,Telangana,South,2026-05-09,Two Wheeler,https://images.example.com/assets/TS62IG4168.jpg,Yes,"Yard D, Hyderabad",Anita Joshi (+91 9999762039),No
HP-HDFCB-100060,2019-06-14,Suresh Verma,Bajaj Pulsar 150,DL56 XL 5078,ENS3833002,2018-03-05,2018,ORC-DL-87867,Delhi,North,2025-10-25,Two Wheeler,https://images.example.com/assets/DL56XL5078.jpg,Yes,"Yard B, New Delhi",Karan Pillai (+91 9313674266),No
HP-SBINB-100061,2017-05-19,Asha Khan,Mahindra Alfa Plus,BR65 MN 8557,ENR2557904,2016-02-02,2016,ORC-BR-10704,Bihar,East,2024-08-17,Three Wheeler,https://images.example.com/assets/BR65MN8557.jpg,Yes,"Yard B, Gaya",Rajesh Iyer (+91 9385323788),No
HP-SBINB-100062,2015-05-02,Neha Pillai,Atul Gemini DZ,PB43 XH 2931,END1160151,2014-04-03,2014,ORC-PB-58616,Punjab,North,2024-10-18,Three Wheeler,https://images.example.com/assets/PB43XH2931.jpg,Yes,"Yard B, Mohali",Anjali Yadav (+91 9135484856),No
HP-SBINB-100063,2017-02-25,Nikhil Iyer,TVS King Deluxe,WB10 GV 3108,ENS4424017,2017-10-05,2017,ORC-WB-68202,West Bengal,East,2026-10-19,Three Wheeler,https://images.example.com/assets/WB10GV3108.jpg,Yes,"Yard E, Howrah",Divya Verma (+91 9000590848),No
HP-ICICIB-100064,2023-04-06,Naveen Khan,Piaggio Ape City,RJ39 MW 2078,ENO2309419,2023-04-12,2023,ORC-RJ-74719,Rajasthan,North,2026-04-19,Three Wheeler,https://images.example.com/assets/RJ39MW2078.jpg,No,"Yard A, Udaipur",Sunita Khan (+91 9440060552),No
HP-KMBL-100065,2017-03-01,Sunita Das,Atul Gemini DZ,MH32 UN 3155,ENQ5418501,2015-03-07,2015,ORC-MH-72995,Maharashtra,West,2026-11-27,Three Wheeler,https://images.example.com/assets/MH32UN3155.jpg,No,"Yard C, Nashik",Suresh Khan (+91 9283868887),Yes
HP-INDB-100066,2014-06-27,Neha Mishra,Mahindra Alfa Plus,TN76 UV 9899,ENJ7884527,2014-07-20,2014,ORC-TN-93731,Tamil Nadu,South,2025-08-24,Three Wheeler,https://images.example.com/assets/TN76UV9899.jpg,Yes,"Yard B, Chennai",Mohit Shah (+91 9787209719),Yes
HP-HDFCB-100067,2019-07-14,Anjali Gupta,Bajaj RE Auto Rickshaw,HR31 XP 3487,ENF0183138,2018-04-21,2018,ORC-HR-14459,Haryana,North,2025-10-24,Three Wheeler,https://images.example.com/assets/HR31XP3487.jpg,Yes,"Yard C, Panipat",Karan Pillai (+91 9356217440),No
HP-SBINB-100068,2021-03-16,Suresh Shah,Piaggio Ape City,HR90 VK 7707,ENK9417151,2019-05-21,2019,ORC-HR-39557,Haryana,North,2025-11-01,Three Wheeler,https://images.example.com/assets/HR90VK7707.jpg,Yes,"Yard D, Panipat",Sneha Das (+91 9174873523),No
HP-AXISB-100069,2020-02-01,Nikhil Rao,Tata Ace Gold,AP44 RC 6949,ENK3308623,2020-04-05,2020,ORC-AP-33137,Andhra Pradesh,South,2024-03-28,Commercial,https://images.example.com/assets/AP44RC6949.jpg,Yes,"Yard B, Visakhapatnam",Lakshmi Reddy (+91 9354664505),No
HP-AXISB-100070,2018-06-05,Rajesh Gupta,Tata 407 Pickup,TN31 HI 3047,ENI7047905,2018-07-02,2018,ORC-TN-39571,Tamil Nadu,South,2026-10-03,Commercial,https://images.example.com/assets/TN31HI3047.jpg,Yes,"Yard B, Madurai",Pooja Joshi (+91 9749130011),No
HP-KMBL-100071,2018-02-15,Shruti Das,Tata LPT 1109 Truck,TN92 IE 9733,ENU8346849,2016-05-01,2016,ORC-TN-69069,Tamil Nadu,South,2025-10-07,Commercial,https://images.example.com/assets/TN92IE9733.jpg,Yes,"Yard C, Chennai",Amit Iyer (+91 9919917657),No
HP-YESB-100072,2020-05-18,Deepak Khan,Tata 407 Pickup,HR82 TW 3768,END0459339,2019-04-18,2019,ORC-HR-74341,Haryana,North,2026-05-22,Commercial,https://images.example.com/assets/HR82TW3768.jpg,Yes,"Yard E, Faridabad",Asha Pandey (+91 9173473612),No
HP-INDB-100073,2014-10-08,Amit Rao,Mahindra Jeeto Plus,MP72 MF 1065,ENT8504616,2014-10-03,2014,ORC-MP-73118,Madhya Pradesh,Central,2025-10-14,Commercial,https://images.example.com/assets/MP72MF1065.jpg,Yes,"Yard C, Bhopal",Rajesh Reddy (+91 9273210437),No
HP-INDB-100074,2019-10-08,Amit Khan,Tata 407 Pickup,UP22 SP 4425,ENU7777234,2017-02-09,2017,ORC-UP-55005,Uttar Pradesh,North,2025-10-13,Commercial,https://images.example.com/assets/UP22SP4425.jpg,Yes,"Yard E, Varanasi",Geeta Iyer (+91 9153344951),No
HP-INDB-100075,2014-10-22,Priya Yadav,Tata 407 Pickup,TS62 PW 5901,ENA9557201,2014-02-18,2014,ORC-TS-28580,Telangana,South,2025-03-25,Commercial,https://images.example.com/assets/TS62PW5901.jpg,Yes,"Yard D, Warangal",Divya Mishra (+91 9873708421),No
HP-YESB-100076,2024-08-14,Amit Pillai,Ashok Leyland Dost+,WB52 SV 6204,ENZ2317469,2022-02-28,2022,ORC-WB-61897,West Bengal,East,2025-12-01,Commercial,https://images.example.com/assets/WB52SV6204.jpg,Yes,"Yard E, Siliguri",Sunita Pillai (+91 9935523462),No
HP-ICICIB-100077,2017-04-20,Nikhil Shah,Eicher Pro 2049,MP14 BO 7355,ENH5747705,2016-05-23,2016,ORC-MP-90850,Madhya Pradesh,Central,2025-11-15,Commercial,https://images.example.com/assets/MP14BO7355.jpg,No,"Yard A, Bhopal",Amit Rao (+91 9176356736),Yes
HP-KMBL-100078,2022-03-11,Sneha Pillai,Tata 407 Pickup,AP74 OJ 1130,ENR4791811,2020-06-20,2020,ORC-AP-78988,Andhra Pradesh,South,2025-03-18,Commercial,https://images.example.com/assets/AP74OJ1130.jpg,Yes,"Yard E, Visakhapatnam",Kavita Kumar (+91 9017345480),No
HP-YESB-100079,2022-07-11,Priya Pandey,Tata LPT 1109 Truck,RJ65 TR 8820,ENK4228550,2021-11-03,2021,ORC-RJ-32573,Rajasthan,North,2026-02-04,Commercial,https://images.example.com/assets/RJ65TR8820.jpg,Yes,"Yard D, Jaipur",Lakshmi Mehta (+91 9080826130),No
HP-INDB-100080,2019-08-27,Manoj Shah,Mahindra Jeeto Plus,HR72 UE 8251,ENL9679898,2017-11-26,2017,ORC-HR-43227,Haryana,North,2024-03-06,Commercial,https://images.example.com/assets/HR72UE8251.jpg,Yes,"Yard B, Panipat",Suresh Patel (+91 9792380177),No
HP-KMBL-100081,2023-08-26,Suresh Joshi,Ashok Leyland Dost+,RJ76 UC 7009,ENW3285911,2022-12-09,2022,ORC-RJ-69264,Rajasthan,North,2024-03-18,Commercial,https://images.example.com/assets/RJ76UC7009.jpg,Yes,"Yard C, Jodhpur",Rajesh Pillai (+91 9348155355),No
HP-YESB-100082,2014-02-17,Sneha Kumar,Tata LPT 1109 Truck,MH92 KH 7217,ENF4690878,2014-02-05,2014,ORC-MH-53755,Maharashtra,West,2024-10-20,Commercial,https://images.example.com/assets/MH92KH7217.jpg,No,"Yard A, Mumbai",Pankaj Shah (+91 9926376661),No
HP-ICICIB-100083,2019-09-28,Lakshmi Joshi,Bharat Benz 1217C,AP36 HC 9524,END7475075,2019-12-01,2019,ORC-AP-28466,Andhra Pradesh,South,2025-09-23,Commercial,https://images.example.com/assets/AP36HC9524.jpg,Yes,"Yard C, Vijayawada",Rahul Mehta (+91 9157038383),Yes
HP-YESB-100084,2026-04-13,Deepak Das,Mahindra Bolero Pickup,MH56 RI 6284,ENS9552815,2024-07-07,2024,ORC-MH-28337,Maharashtra,West,2025-01-20,Commercial,https://images.example.com/assets/MH56RI6284.jpg,No,"Yard E, Nagpur",Ritu Verma (+91 9719353226),No
HP-KMBL-100085,2022-03-07,Asha Sharma,Eicher Pro 2049,KL58 WA 2251,ENK1527510,2020-06-08,2020,ORC-KL-11703,Kerala,South,2024-09-03,Commercial,https://images.example.com/assets/KL58WA2251.jpg,Yes,"Yard D, Kochi",Meera Nair (+91 9251763065),No
HP-YESB-100086,2022-05-13,Rahul Das,Ashok Leyland Dost+,PB41 SR 5721,ENR5515339,2020-11-26,2020,ORC-PB-41514,Punjab,North,2025-09-10,Commercial,https://images.example.com/assets/PB41SR5721.jpg,Yes,"Yard E, Amritsar",Sandeep Das (+91 9718787162),No
HP-AXISB-100087,2019-11-01,Vikas Yadav,Volvo EC210B Excavator,KL11 KY 9582,ENO9469758,2019-03-10,2019,ORC-KL-31624,Kerala,South,2026-09-19,Construction,https://images.example.com/assets/KL11KY9582.jpg,Yes,"Yard B, Trivandrum",Karan Pillai (+91 9082170747),No
HP-INDB-100088,2017-12-26,Divya Patel,JCB 3DX Backhoe Loader,KA91 KG 7409,ENK9070562,2015-02-13,2015,ORC-KA-56448,Karnataka,South,2026-03-12,Construction,https://images.example.com/assets/KA91KG7409.jpg,Yes,"Yard B, Mysuru",Suresh Verma (+91 9919905499),No
HP-SBINB-100089,2016-05-20,Pooja Khan,L&T Komatsu PC 130 Excavator,BR68 LY 9582,ENH4676387,2015-01-09,2015,ORC-BR-85022,Bihar,East,2024-02-11,Construction,https://images.example.com/assets/BR68LY9582.jpg,Yes,"Yard B, Gaya",Shruti Rao (+91 9576110069),No
